-4124093753691.4760742188,-982338140639.9294433594,4404881604073.1093750000,1057766061968.7938232422,1450272796967.1760253906,-764569973464.2906494141,-288840398822.7570800781,2872879417417.2441406250,-6190335015210.2070312500,-2254007585254.9238281250,-5215495914101.5732421875,-4054678607772.1123046875,-3416685853433.9531250000,-12564428249659.6855468750
4124093753690.6523437500,982338140643.0258789062,-4404881604072.8085937500,-1057766061967.9392089844,-1450272796965.0349121094,764569973463.5140380859,288840398822.5277709961,-2872879417418.6782226562,6190335015209.2968750000,2254007585255.6875000000,5215495914100.4941406250,4054678607772.0151367188,3416685853434.3022460938,12564428249660.7597656250
4124093753688.7949218750,982338140640.9208984375,-4404881604074.2119140625,-1057766061968.2604980469,-1450272796966.1411132812,764569973465.3269042969,288840398822.3058471680,-2872879417419.2304687500,6190335015208.7011718750,2254007585255.7148437500,5215495914098.8183593750,4054678607772.6093750000,3416685853433.8466796875,12564428249658.8320312500
4124093753689.2983398438,982338140642.0385742188,-4404881604072.0390625000,-1057766061969.3132324219,-1450272796965.8471679688,764569973464.6607666016,288840398823.6942138672,-2872879417419.0810546875,6190335015210.7558593750,2254007585254.9482421875,5215495914097.7968750000,4054678607772.1787109375,3416685853432.8955078125,12564428249659.4296875000
-4124093753691.2216796875,-982338140643.6201171875,4404881604072.0341796875,1057766061968.2093505859,1450272796965.1843261719,-764569973464.9055175781,-288840398822.6033935547,2872879417418.7612304688,-6190335015210.3437500000,-2254007585253.5224609375,-5215495914097.8154296875,-4054678607772.3632812500,-3416685853436.2167968750,-12564428249659.5683593750
-4124093753690.4550781250,-982338140641.4975585938,4404881604073.9082031250,1057766061967.6110839844,1450272796964.9252929688,-764569973465.4522705078,-288840398823.7242431641,2872879417418.9960937500,-6190335015210.7587890625,-2254007585254.4965820312,-5215495914099.0527343750,-4054678607771.1728515625,-3416685853433.9375000000,-12564428249657.0917968750
4124093753690.5571289062,982338140641.2500000000,-4404881604073.0058593750,-1057766061969.8732910156,-1450272796967.1865234375,764569973464.9500732422,288840398823.1226806641,-2872879417417.3090820312,6190335015209.1884765625,2254007585255.6997070312,5215495914099.0068359375,4054678607772.0722656250,3416685853434.6889648438,12564428249659.1757812500
-4124093753690.8652343750,-982338140643.6108398438,4404881604074.8750000000,1057766061967.9583740234,1450272796966.0532226562,-764569973465.1330566406,-288840398823.2316284180,2872879417416.7402343750,-6190335015210.4023437500,-2254007585253.4335937500,-5215495914098.5224609375,-4054678607772.6582031250,-3416685853433.8720703125,-12564428249658.5449218750
4124093753691.5043945312,982338140642.0889892578,-4404881604073.9160156250,-1057766061967.8278808594,-1450272796964.7856445312,764569973465.8243408203,288840398821.8335571289,-2872879417418.1757812500,6190335015208.5039062500,2254007585254.2797851562,5215495914099.0283203125,4054678607771.8891601562,3416685853432.9370117188,12564428249659.4941406250
4124093753691.2495117188,982338140641.8448486328,-4404881604072.9111328125,-1057766061969.6043701172,-1450272796965.7487792969,764569973465.0891113281,288840398822.3891601562,-2872879417419.1166992188,6190335015211.2646484375,2254007585256.0166015625,5215495914100.5029296875,4054678607773.0537109375,3416685853434.2373046875,12564428249658.4863281250
-4124093753689.4262695312,-982338140641.6357421875,4404881604074.9580078125,1057766061967.4321289062,1450272796966.3127441406,-764569973464.9650878906,-288840398823.1749877930,2872879417419.3681640625,-6190335015210.4404296875,-2254007585255.7714843750,-5215495914098.4638671875,-4054678607771.8750000000,-3416685853434.4770507812,-12564428249658.9863281250
-4124093753689.9589843750,-982338140641.3641357422,4404881604073.7431640625,1057766061967.3837890625,1450272796966.7526855469,-764569973466.9534912109,-288840398821.5259399414,2872879417417.0825195312,-6190335015209.3437500000,-2254007585253.1796875000,-5215495914100.9189453125,-4054678607774.4125976562,-3416685853434.2612304688,-12564428249659.3085937500
